,M,"	Okay, there you go. So that's recording now. Alright, so let's just begin with your first move to Canada. When did you first move to Canada?"
313,M,	Tell me about your thoughts on immigration policies on current…Are you kind of on top of it? Do you keep a check on what what immigration is doing? 
314,Da,"	Unfortunately I dont agree with any of the immigration policies that they have in this country or any where. So it might sound really bad but I think they're not fair…. they're not fair with how they select people and then how they accept people and unfortunately like we live in the world like a lot of people they have to leave their country not because of that’s what they want but because they don’t have another choice because their home it's been bombed or their home is being ….they're being threatened…. their kids are being threatened. And I understand that. I completely understand that. I mean, I think…I think that…for instance, I do not agree about the refugee stand for the Syria. Okay so the reason why is because the way they treat other people way better than us.. the actual immigrants, right? Basically, what the government is trying to make me understand is like so if youre actually having all this trouble and everything will give you everything. They give him the housing, they give them clothes, they give them all these resources to help them out to go through this life in Canada. Whereas the other parts ….where ‘us’ when I go into this category – Its like “no we don’t care, you need to pay and you have to figure out a way”. So, like in my my case, and a lot of people that I know… it's just not… I don't have nothing against their country or anything. It's everything like that…they can have everything so easy in the silver plate, but they don't realize how fortunate they are. is not the fact I understand completely. It's not a fact, I completely agree. They should actually give more help to them. And we should support. It doesn't make sense that you're helping all these other people and then just forget about the people that actually are contributing to your economy and are giving you money for that and we're not using any taxpayers money, or any we're not using any money or resources from any of the government. And at the end of the day, they really treat us like, like, “Okay, thank you. Thank you for coming”, you know. I even even see skilled workers, all the things that they have to go through, all the money that they have to pay. My friends, I’ve seen them - the scare of actually going back to your country because you don't actually perform in this country because they will you know, they see no, you can stay here because you don't qualify for it. I'm like, I'm thinking to myself like it is… like, how I'm not qualifying for it?, Like explain to me, how im not ‘qualifying’ for having to live in this country? I pay my taxes. I've been here for a long time and being a contributor for this society. I think and being part of here. I mean, it's not fair that you give priority to other people, just because your government and the choice of the people decided to do that. This is not even their fault. I'm not saying it's their fault. There's nothing to do with that. I mean, a lot of people they might thim im really.. a lot of people might not like my way of viewing things but its just like…its not fair to the person that he has worked so hard and then people like that the people like this… they going through that situation as a refugee, they don't appreciate what they really have. Sometimes its stupid… sometimes people like, they think they deserve everything in a way that and they show it to us like no I just. I'm not gonna work. I already have this. I have that… and I'm like that must be nice. I mean, like the refugees… they got greeted by the Prime Minister,they gave them clothes and everything - I didn't get anything. I didn't get any clothes. I have to buy my own. I didn't get any money. I have to actually pay taxes. I didn't receive any money back. I earned a lot of money for the government, just because I was working two jobs. Which makes no sense. I was like, in makes really no sense. Like how the government is actually doing this. Like, so what are you saying? Like, okay, so you have to work so hard to be in this country. You need to pay your lawyer. You need to pay your housing. Rent is not cheap here. You need to pay for your food. You need to pay for your normal expenses. And if it's something left to have a little bit treat for yourself, then you can have it. But then you see other people that they use the system. And I’ve seen it for long and I'm not saying it's only Syrian people. A lot of South American people do the same thing. And it's just so frustrating and its so, so like, like, it's just it makes me so mad. Because it's like, you have no idea what you have. Like they're giving you the opportunity, take it. Not everyone gets that opportunity. And that's what a lot of people don't understand. You know how many people actually want to be in a place where people are actually suffering back in their own back in their country, who are actually having a struggle. And then they come here, and they don't do anything. That makes me mad, because, at least at least in here, and what I have to say for myself is like, this space haven't been, it wasn't easy. At least I'm proud to say like, you know what, I'm a Mexican. And I came here to actually do something with my life and I actually work and I contribute to the economy. I am proud to be in this community and whoever told the opposite, that would be like no.. I do the same things as you. Because I see it with my partner. He's Canadian. So he has that conservative mentality that immigrants take everything.  Well, my ex partner… we just recently broke up. It's just because most of the people they say the same things. The same old comments that immigrants are taking their jobs or taking their, their opportunities, they're taking their money. And I'm like thinking like, No, that's not true. Like, the only reason why I had the job in the bank because Canadians don’t want that job. I mean that job is there.. I mean, we're the same.. I don't have enough experience. What is the difference between me and other Canadian? We have the same thing."
315,M,"	I mean, that that makes me want to ask you another question now, in terms of romantic relationships and did your visa ever play a role or your status in this country playing a role towards towards having a romantic relationship or a partner? Or did that sort of ever come into between something? The discussion of your papers?"
316,Da,"	So I did have a boyfriend back in Mexico, I did had to break up with him. I did lost a lot of things. I literally lost my lost friendships, I lost my home, I lost my family. I lost a lot of things to just to come to this country, to work hard and do a lot of these things. I think, I found this opportunity that you gave me to actually tell my story and I'm thankful for that. Because its just sometimes people the people they just need to know. I think sometimes …people they just live in a mind state that nothing is happening…"
317,M,	So next steps?
318,Da,"	So yeah, so what they told me is after the three years havto e a permanent residence and then they’ll give you citizenship. Apparently right now they change the rule, I think for the elections. They say that now, whatever years you've been here, because I've been here for four years, so those years count as one. So now just need only two years for citizenship. Which makes no sense. So I mean, like, I've been here four years in this country, you can't give me my citizenship right now? So there's a there's a test. Its like history most likely. They make you sing the national anthem and I think you have to pay for it too. I think it's another $500."
319,M,	Would you consider migrating anywhere else? 
320,Da,"	I will go somewhere in Europe. I will not stay here.  I mean, after what I've gone through, I mean, this is just sad. Sometimes. You know what I mean? I mean, I love this country. Don't get me wrong. I think it's a great opportunity. And actually, they deserve to be here, and they actually want to have people there. Because it's not… like I like I keep saying it's not fair. And they give opportunity to other people that they should not be here. For instance, they should not take everyone.. you know what I mean? I think it and it's not about their background is not about their religion, it's not about anything. It's like they if you don't want to be part of this community are you doing here? If you don't want to get used to this culture, you don't want to be part of this culture. What are you doing here because culture is one of the main things and one of the main things that my mom and her ex-husband told me is like, you’re coming here, you change your culture. You're not Mexican, you're not. You're a Canadian. You're not celebrating any Mexican culture. You're not going to celebrate anything like that because you're in Canada. You're not in Mexico. And you know what? I agree. I say, You know what - you're right. If you come to my country, I will say the same thing, because you're in my country, you come here. And of course, I don't wanna, if im in Mexico, I don’t wanna celebrate Canadian holidays, right? It makes sense. I was like, Yeah, but unfortunately, a lot of people they don't like… they don't get that. They want to change the culture here. Which I don't agree with it because it's not.. Like why am I making this culture to change? What am I giving to this culture to telling you know why you need to celebrate my Mexican holidays? But just because of politically being correct, they have to do all these things. Right."
321,M,	so where in Europe would you go?
322,Da,"	I would go to France. My dream was to be in Spain but Spain is not doing great right now. I mean, right now I'm going to my permanent residence. I do want to do something different. I keep telling my mom the same thing and she told me just get your citizenship and go because it's easier. Right?. I want to at least a place to say that is home."
323,M,	What do you think about your map? And is there anything else you want to add in there?
324,Da,"	So here.. the humanitarian process. I just want to tell you what they actually asked. So, they asked you for letters from Canadian people for comments. This opened my eyes for some people. A lot of people they helped me with this and it's people that they're my clients people that they’re still my clients. I think I got maybe…. they don't give you an estimate of how much you need to help…. but the lawyer says that the many you get the better right because them…. for the government it says like you were part of the community and then they know you. They know you. And I got so many beautiful letters from people that I just met …just one day and I asked for a letter and they say yes, like So nice people like I mean, and they're all from here, from Cabbagetown. I mean, a lot of people they say they say, it might sound stupid, maybe because it's just a letter. But it just opens your eyes. Right? Like, I mean, I'll show you one it's, it's, it's just beautiful. How people are. I just love… I love that's the whole reason why I love customer service because this is it gives you a better understanding of people. Right? So this is one of my my clients from the butcher shop. I just talked to… She's so nice, and she gave me this amazing letter. And it's just beautiful. How actually people express about you just by knowing you for a little while. I love it. I have more. They did handwritten letters too. It's just beautiful. How many people they actually open their, their way and they see something because that's what they told me is like, you know what, I see something for me, and then I see that you are going to be great in this country and then you deserve to be in this country. I'm like, thank you. So they asked you for banking statements. So for the humanitarian base, they asked me for the all your banking statements so basically all your banking history….you have you had a credit card, and your personal banking because you need to prove how you been paid. How you pay your credit cards. How many loans you have, taxes – that’s the most important thing. How do you pay your taxes? and it has to be every year so every year, But I will put you in there like this is the most important thing for me was the letters. Yeah, letters, I think. I think it opens the eyes. It makes the officer making the application makes understanding of who you are, right. I got letters from restaurants or letters from people, we got letters from from …from my My brother's bosses. I go letters from my bosses and hearing the bank to say yes for sure I'll write a letter for you. I don't mind. Its so nice right? I can't I just can't believe I went through that was just like it is it is a hard process. Like sometimes I like I told you right in the beginning, like I feel like if I would have stayed in Mexico, like I told you, if I would have known all of this, I wouldn’t have come.  I'm not gonna say this. I think it's like all the experience that I have in here and made me learn a lot of things. I think I'm more mature and a lot of things. I got a good job. I got a lot of people that help me support me and then being together with me how I got closer with my family even closer with my mom and closer with my brother. It feels great. I mean, I don't think I would have done this things in Mexico. I think it would have been different. I would have been in school right now. I think I would have done just the same just because I wanted to Mexico. When I was talking with my friends in Mexico, what have they done and everything. And theyre still in University, right, they starting and everything I'm like, I would love to actually be in there. You know, I wouldn't love to just feel that. I feel like when I came here in this country, make me to Miss A lot of things like school .. who doesn't want to go to university? Who doesn't want to interact with people your age, to have the same thinking to actually, like express different ideas with each other? Right? So I think I missed that I miss and I would have loved to have that opportunity to actually interact with people who are my around my age. And it's hard You know what I mean? When you see it when you see people that they go to universities, like, when I go to university, I'm gonna be old, people are gonna be younger. "
325,M,	Is there anything else you want to say or add or otherwise I'll just stop it.
326,Su,	I came here December 2018.
327,M,	Motivations? So you got married but were 
328,Su,"	Yeah I definitely was looking out to move out of Pakistan because, where I was staying, in Pakistan what tends to happen is that you have a very limited skillset and people tend to have a very narrow notion about what you can do with your skills and what you can. And I feel I was always looking to move out of that sphere and get into a sphere where I could start over new and my past didn't really matter in terms of career and all that stuff. So I could study or I could go back and say go back to school, I could start working. I could start like becoming an entrepreneur. But my my, like what my motivation always was, was because I was so attached to Pakistan in terms of the not for profit and humanitarian work that I did in Pakistan. I always wanted to, even if I moved anywhere else, I always wanted to carry that goal in my head. So say you know whether I moved to like England or Canada or America I always wanted to sort of ignite this sort of, you know, passion and say maybe overseas Pakistanis or just other people about like arts and crafts in Pakistan and how much potential there is and how much like they're being exploited and how much so my connection was always like, I'll move out Yes, and I'll have like a primary day job or whatever, but I really want to sit down and like sort of promote our arts and like our crafts all over Pakistan… and our music and like everything because it's so rich culture. And in Pakistan, like stuff like Urdu’s wearing out. People don't talk Urdu as much. I and, you know, I mean, that's, that's the language to be proud of. Because honestly, like, I mean, unfortunately, even I can like sort of understand, like, very poetic Urdu because I haven't been brought up there, but I wish I could and I wish I could take pride in it because the kind of like linguistic like it's just everything. I think everything's from like authors like Manto to like poets like Faiz, like, Pakistani art like Sadeqain or so whatever you have, like they have so much more like struggle in their like in their Arts then. Well, it's wrong to make a comparison but I feel like there's so much struggle because it seemed very, very hard lives in that they’ve seen like partition they've seen like, the whole Bangladesh like, you know, \ they’ve seen just a lot of fractions of life that maybe haven't and then our youth are not sort of. They're not. They're not informed about that as they should be. And I feel like wherever I wanted to go in life, I always wanted to inform people of my culture, whether they were Pakistani or not. So yeah, that's something that I always wanted to bring into. "
329,M,"	Right. So you like, I mean, tell me about your background. So you grew up outside of Pakistan? "
330,Su,"	So I was born in Islamabad. So my dad was a diplomat. After every two foreign postings he would have to come back to Islamabad to work at the Foreign Office. I was in Islamabad. When I was 2 I moved to Baghdad for about five years in Iraq and then then I moved to Indonesia for about three years. Then back to Islamabad when I was about seven, eight, and I went to school in Islamabad so this is my first sort of thing with with Pakistan. But Islamabad is very different culturally from Pakistan, from Karachi because there's a lot of foreign population like theres diplomats and stuff. So you don't really feel the typical-ness. You know, it's not claustrophobic, it's, it's a little more broad. And then after Pakistan, we moved to the Netherlands for about six years. I think that was my dad's longest posting and that was kind of like, has in a way become home for all of us in some way or the other and then after the Netherlands, I moved to Russia. So I was living in Moscow for about three years. My dad retired some time in February 2008. I was still in the middle of high school, I was doing my International Baccalaureate, and then so I obviously could not it was like, couple of months ago, my final exams I was seeking move back to Pakistan with them. So I stayed on in Russia all alone. And that was a lot of fun. But apart from that, like I learned about, like, what the Russian culture and about so many things and about just just how like, you know, and I remember ever since I was like, you know, 10- 11 I would just go on and on about Pakistan to my friends and how amazing the culture is I was just one of those like, you know, it's very proud of all of these things and, and people just like my wedding happened in December, and all my friends were like you've been raving about Pakistan for like, as long as we've known you. Like, we're so excited to come. They all, well, some of them came and, like, you know, it was nice. So, then I moved to London to do my law at UCL and then I thought I didn't want to do my bar, whatever I came back to Pakistan. And yeah the story starts from there in terms of work and then finding like, what I'm good at what I what my passions are, like, you know, all that kind of stuff. And it was very difficult sort of moving a step forward, because they're like, but your lawyer, why wouldnt you want to practice law? Why would you want to do this? Why would you want to do that? So So we actually did, like a couple of friends. We actually close… but honestly when I practice law, my my impetus was not to become like a corporate lawyer or like whatever you see in suits or whatever and all of that stuff and makes shit loads of money. It was…it was more like, I wanna work. So criminal law I want to do Human Rights, that's where I was heading towards. And both things in Pakistan are a challenge because a woman being a criminal lawyer, anyone being a criminal lawyer and most of the criminals are very sort of notorious. And you know, I started I remember I started visiting kurachi Central Jail quite a few times to get an idea to get people's stories because I liked writing also, I like writing also, and I remember getting calls and getting tracked and all of that kind of stuff. So that was, you know, just a little uncomfortable. So basically that happened then and then we like couple of our friends were like very passionate and stuff. We, together with the guidance of Asma Jahangir, she's she's a very well known like activist add lawyer in Pakistan. So we started this legal aid clinic, whereby we would work with people who could not afford Legal Assistance which is 70% of the population. So you know if there was like land crimes and you know people taking over their property or people taking the land or people taking over whatever… like whatever is domestic violence or domestic divorce, the husband not giving the divorce, whatever it was, we were kind of solving it and than unfortunately I got a job into another good corporation which was linked law remotely and so I said okay, why not? But I kept in touch with the legal aid clinic and I believe it's doing really well right now. It's it's like when we started we were like, like working from like, what like, basically just like someone was kind enough to give a room from their house, like, somewhere in Lyari, right which is a very…was a criminal infested area. But then, now I believe it has its own office and all of that stuff so it is picking up. I would love to do that kind of thing in Pakistan but unfortunately like, you know, there's implications to that. Yeah as there is anything that's a little out of, you know, boundaries or whatever. And there are a lot of boundaries. "
331,M,	So tell me about your your marriage so I mean your wedding. How did you meet your husband? 
332,Su,"	So I have met my husband about three years ago at like, so we knew each other through a lot of mutual friends but we never really like met and spoke. But then like a friend of mine, and friend of his suggested that we…like we should probably like, get to know each other and it was a mutual friend of ours whose wedding it was. And so, he introduced us and then you know, one thing led to another we started sort of like, this is December 2015. And he was only there in Pakistan for a holiday and I don't know what happened to me but I just took… I'm very careful about these things but I just took a leap of faith and then we started having a long distance relationship. I told him that like, the only the only way I'm gonna have a long distance relationship with you is if we make an effort to meet after three, four months whether that's, you know, Im not asking you to come all the way to Pakistan or I'm not going to come all the way to Canada but lets meet half way. Otherwise not going to work on the phone and all that stuff. So we try to make an effort to that consistently as possible. Year and a half into it, he wanted me my family. I met his and then from then on. We kind of like, sort of… Oh, we met like in our first holiday was in Lisbon that we went to Miami. We went to Barcelona, so, and he came to … he comes to Karachi every December. So that, and then San Francisco. So like just random places, right? That was one of the things I put in my head was like, Im not gonna go into this blind sighted, you know.  "
333,M,	What does he do? 
334,Su,"	So he works for. He works for a company called Young Canada, and they are the parent company for restaurants like KFC, Pizza Hut, Taco Bell, etc, etc. And he looks after… like he's a franchisee and business coach. So he's kind of like an operations as well as, like growing the franchisees business. So he travels. In fact, right now also he’s in Vancouver. So he travels a lot for work."
335,M,	All right. And had you been to Canada before you got married? 
336,Su,	No. 
337,M,"	Okay. All right now, I mean, we have actually discussed your professional background as well and in terms of your migration to Canada, did you plan this… So I suppose the right question would be your migration to your move to London. Was that by yourself? Or was that with your family? "
338,Su,"	No, I was by myself. That was myself. "
339,M,"	And how did you sort of come up with that? Like, why did you choose London over Russia or Pakistan? "
340,Su,"	To be honest, I didn't want I don't think Pakistan was even an option because I don't think they sort of sort of did the kind of law that I wanted to do. I think I was just kind of following the footsteps of my brother by going to school in London. But in hindsight, I probably had a better option going North America, or Canada do my law, but I believe it was I just wanted to get it done. I was not a very studious student in any case, so I was sort of like, okay, so we get it done three years done. With America, like or whatever you'd have to do like pre law then. You know, but like being in America would have definitely been a more wholesome experience. Yeah, but but London is fabulous. Great place. You know, at the time, it's funny because right now, couple weeks ago, I read that they changed the law… and the students who graduate from… foreigners who graduate from English universities have a 2 year to find work and whatever. At that time we didn't have that. And with Law, it was a very, like Oxford, Cambridge, very strict, aristocratic, sort of, selection process where the top law firms had people were graduates from there. And obviously people who are not of my racial ethnicity, if you could say that, so that was very competitive. And that's why I came home. "
341,M,"	And So I mean, in terms of work now, like you're looking for work now, what kind of work are you looking for? Is it legal or anything really?"
342,Su,"	I think, I would say say like, anything, really. But I kind of gave that thought up a couple of weeks ago. I don't want to do anything really, because it really does take away from who I am. I'd either go back into the Arts somewhere or the other, do something with writing, if that was… if I were to follow my passion. And if I were to stick to what my expertise are in, it's more like not for profit, fundraising, humanitarian sector, like international NGOs, and, UN, whatever. "
343,M,	And how are you finding the job market for those kinds of jobs? 
344,Su,"	Umm not too bad, actually. Okay, not too bad, because they, they're very, they're a lot more good with handing out these jobs to people who have like, would have had like a diverse sort of background and cultural, whatever, you know, ethnicity, as opposed to giving them to people who are from here. I don't know why that is but that's probably a good a good thing I guess? I don't know, or maybe people over here just more into like finance and marketing. And that's what I tend to sort of hear every time. So when someone says I have a job, they're like, Oh, well I work for a bank for we work for, you know, whatever a company like Lowe's or you know, retail and that kind of stuff. So maybe that job market isnt built or maybe it'll be funny that way. But it hasn't been like hugely competitive to get a couple of interviews here and there. Like, yes, with the bigger places for sure. But the smaller ones, you get something or the other. "
345,M,"	And in terms of visa status, like what sort of visa are you on currently and what kind of visa is your husband?.."
346,Su,"	My husband's citizen so I am …I applied for temporary resident visa, which is basically a visit visa and because I had that I could get into the country and that be inbound, and apply for a spousal visa. So technically, my status is that I am a non-resident but I am allowed to work in Canada because I have a work permit. But my PR is probably due six, seven months from now. The good thing is I have a work permit so that you know allows me to work before my PR."
347,M,"	And in terms of your move now… so your move to be with your husband? Yeah, on a spouse visa How long did you plan have to plan and organize? "
348,Su,"	Like a year before we got married or maybe at least nine months or 10 months before we got married. Like a lot of research out of like, what lawyers are we gonna get are going to apply ourselves? What are the forms gonna look like? And like I said, like we were always like antsy about the fact that you know, how am I…are we going to be married? How am I going to live like apart from you like 10,000 miles apart? That’s so weird. And then working that around, and talking with people talking to different lawyers, and then coming up and saying, well, no matter what you can be an inbound applicant. So that was a very stressful procedure, especially for my parents as well, because they just didn't think they just couldn't imagine like, and then it was also stressful for me because I was like, So where am I gonna live? Am I gonna live in your house, your parents? Or am I going to live with my own family? Coz it makes no sense to live in your house and blah, blah, blah, like that, obviously, raised a lot of conflict, and because of conflict and pressure was there I think we moved on. I think I really pushed it like…No, we have to find a way to do like the whole inbound or whatever alternative we have. And I'm glad that lawyers are lawyers were not good enough to sort of suggest that to us, because doing on your own is just not as…as efficient like I'd say yeah, yeah. "
349,M,"	And how's how's married life, generally living and moving into a new place? "
350,Su,"	What I'd say married life is Probably like..So I came in and obviously there's like a lot of expectations you have when you move in with someone that you're dating. And but it gets a lot of a lot different couple of months, well people say a couple of years down the line. In our case couple of months down the line. There were a lot of his travels, a lot of like challenges in terms of us getting along as people because we realized we're complete opposite in work like, you know, for fun, but then when it came to practicality, it was like, okay, clash, clash. So obviously one or the other person, or both the take step back in their personalities. But it's been, like it's been challenging.. ill tell you what, its been challenging and we don't share the same interests at all. Obviously, he's been in Canada for what 15 years. For me, I'm new so like every time, you know. So like every time I'm like I get excited about like, you know, going to Kensington Market or sitting on the patios like having lunch, and drinks and whatever during the summer or whatever. He's just like, yeah I've been there done that. And that's sort of like, you know, you’re kind of boring, like, but sometimes he'll he'll understand that like, okay, she just moved. But it really helps the fact that I've got like, some way or the other, a lot of my childhood friends ended up living here. So I do have like, a good like a good number of friends and close ones. I'd be like meeting someone or the other something, you know, you know, I'm not like.. And as far as him moving away, like my mother in law comes and visits in the summer. So she's here these days, and she's like, if you want to come and stay with… She lives with their daughter, her daughter’s not married, so she's like, if you want to come and stay or whatever. I'm like, you know, to be honest, like, I'm okay. Like, on my own. I actually like it, like, you know, and I don't get lonely or whatever, like that kind of thing. I mean, yeah, you know, I'm just I'm one of those like, I just do my own thing. "
351,M,	Your sister in law is in Toronto as well?
352,Su,"	Yeah, she works in Toronto. Yes. She’s been there. She's a year and a half older than my husband. She's not married. She's working for for Colgate Palolive. "
353,M,	So you do have family and friends Yeah. Which is which was gonna be my next questions. We'll discuss that when we do the mapping as well as. How long did your initial visa process take? 
354,Su,"	I'm actually good. Oh, yeah. So for the visitor visa, the first time I applied for it I got rejected because to be honest, it was a very rushed and most people do apparently from Pakistan. This is the hardest visa, the Canadian visa is the hardest to get. So and to be honest, to be fair, I didn't really put in a lot of documents. I didn't really apply from my heart. So I just sort of gave it in and I got rejected. This time around, like there was a lot of documents and stuff and like a lot of because this meant a lot more or more stakes involved. At that point. I was just going to meet my boyfriend. And then I was this time I was like, you know, I need a visa visa in order for me to get into the country after we get married, right. So the process itself didn't take very long I believed like I got an email maybe like 15 days down the line saying come pick up your passport, but the whole collection of documents and justifying things took a bit longer than that. Yeah, any other visa would say you would see how long isn't like a few months? maybe, you know, I'd say like was, I'd say a month and a half. Yeah, okay. Yeah. Yeah. Yeah, A lot of people like, like my husband's cousin, he applied, he has a Pakistani passport as well. So he applied from Dubai, like within five days he got it. From Pakistan, I don't know why they're just a little more stricter."
355,M,"	Okay, so, um, and final question before we begin mapping, how do you consider yourself? I mean, what are the skills that you bring with you to this country? How do you consider yourself to be a skilled migrant?"
356,Su,"	Um, to be honest, like, well, if I were to go for the typical like words like project management, not for profit management, you know, in terms of marketing, content writing, I’ve done a lot of that, communications, interactions and digital marketing and all of that. But if I were to really look at like, my passions and my skills into my passions, it'd be that you know, I could contribute a lot of cross cultural. Like I said, like I'd love curating like Pakistani exhibition artists exhibitions here. I'd love curating, like pop ups or stuff with like, you know, crafts and things made by underprivileged like woman in Pakistan. So I think the whole cross cultural thing really like link to art and crafts really does help me out. And then, you know, I don't know if that's a skill set, but I think I have a very creative mindset. It's like you give me something as long as you give it to me from the start of it, I will make something of it. And I think that's, that's one of the things that…I don't know if I have that cliche skill set. I've always kind of said, Well, I don't fall into that category anyway. And that's probably why a lot of people are like, Well, what does she bring to the table? Right? But, but there's something I can't explain what I do bring to the table, but it's just.. "
357,M,"	I think you explained it perfectly. Yeah. Yes, you will. Again, it's I don't think that all skill systems are about about actual physical like tangible. Yeah, they're about life skills as well. So I think that that's very important. Did your husband migrate here on the skills visa category? "
358,Su,"	Oh, he he moved here as a student, he went to UofT. So he moved here as a student..he was. He finished high school in karachi and he moved here when he was done. 2005-2006 – something like that. Like he is his family had also come a couple of years before that to settle in the kids and whatever. And then it was like they had applied as a family and by the end of I think, I think 2011-2012 they all got their passports or whatever. So the parents moved back coz there they have… my my father in law has a business back home and then and then. Well, yeah, yeah, they decided to stay. My husband's younger brother stayed for a bit, didn’t really like itwe, nt back to Karachi to join the family business, and then my sister in law is still here."
359,M,"	And in terms of cultural sort of change, I mean, I suppose we did briefly talk talk about how you grew up in a culture that was quite similar to Western culture. "
360,Su,"	Yeah. At least from me, not from my parents. My parents don't think that.. theyre like you’re Pakistani at the end of the day, I'm like, well, no Im not, like, yeah, I mean, I am but that not like a… that's not like a that's a nationality. That's not a way of thinking, you know, right. Yeah. That's, that's interesting. "
361,M,"	Yeah. So yeah, I mean, that's an that's a discussion that I have with my parents all the time. Yeah. But um, what about your husband like, is he very culturally Pakistani, or is his family very culturally Pakistani?"
362,Su,"	His family, I would say are very traditional but Modern Family. So he is not he's traditional in the sense like, now, that I'm living with him I get to know how traditional he is. But he's not like every time like say for example if you go out for dinner with a couple of people and they're not they're from Canada or whatever and someone asks how’s Pakistan and I'd be like Pakistan’s great like there's so much…you go up north, there mountains… you go south theres the sea. And he… hes just like Pakistan’s shit, like, wow that's one thing we clash on. Im like Amir, look like we have so many like there's so much culture like you know whether it comes to food or comes to traditions or folklore or whatever. He's not very proud Paksitani.  In the sense of gender roles and stuff, he's very typical but when it comes down to,"
363,"say like, he's not worried about what I wear, what I do. He's not like in traditional the sense that like, he has set of values and like systems that are… that go beyond superficial things like clothing and all of that it's all about you know, well did you… you know, take care of somebody? Are you hospitable? These are the things that I think comes from our culture because we as people are very hospitable. And we take care of our guests and he's always told me like I'm a hospitable as well, but he's always told me like, you know, guests whoever comes to our house…like that way you can tell the traditionalism coming in but and also the fact that when we started dating, he wasn't like he told me from the first day I'm not fooling around with you like if this works out. I want to get married to you. And I was like, okay, because guys, even in Pakistan dont say that. So that in that sense yes, I'd say he’s well valued but but but not like, you know, very pro Pakistan. Or maybe he just doesn't know it. ",
364,M,"	Okay, so we'll, we'll get drawing. So, the first question is, tell me about all of the visa categories you went through from the point of your initial arrival to current status. Now, in terms of your journey, I would also be interested in your…Was it a student visa to do the UK? So probably that as well. Went to the UK, you went back to Pakistan. Maybe you want to demonstrate that you were growing up in other parts of the world. It's totally up to you, but like basically all kinds of visa categories that you went through a journey or..journey around the world."
365,Su,"	Im very artsy, so I'm gonna try and do something artsy. I think I'm more in the moment kind of person. So that’s a Pakistani flag. So it says 20th December 1989 the day this is the day I was born. I was born and this is the day that my dad was he was going through a lot of politics in terms of people and his colleagues. So he was fighting for a promotion that he was very much due for. But this day, the day of my birth, I was born as finally when he got that promotion, making him like the ambassador, like in foreign countries. So he always sees my birth as good luck. I've always been like a little spoiled dads child. So moving on from that, like if I were to go on…I wish I knew what the Arab flag looked like. This is Iraq. This is Indonesia. So my first best friend was I met… was in Indonesia. So then, leaving was sad obviously. Then we went to Islamabad which was interesting. So, we stayed like random places. Well, when my dad was doing a course and we stayed in one of those houses too long…Like, our like, container came by a container came from from Jakarta. And then we bought a house and my dad was busy like doing these courses and my mom us were like, just. like first experience in Pakistan like, our maid, like goes missing and my mom was like, but I dropped her home, like last night and she told me this is the house and like the next day the family comes to the house and they're like, like what did you do to like my daughter? She's not back home, whatever and they threatened to put it up in the newspaper or whatever. Turns out the girl herself had ran away with another guy. So that was like, obviously all this visa stuff was supported by my dad. So I don’t really know much about it. So there was this holiday without mom. It was amazing. No with dad was amazing. Yeah, mom was …all these rules back then obviously right. I remember the flag. So That's Holland, that's like legal.. like that’s weed, so Canada. Yeah its way more legal here than in Holland. There you can't smoke on the streets. Over here, like there's no, like you can order it online on the Government of Ontario Canada website…like they even have like CBD oils and stuff like that which you can tell me which which ones are good so. To be honest I'm not like so much as so much a weed person I realized so yeah i think i think i think… or maybe the strains that I've like ordered haven't been like very suitable for me but like in Pakistan whatever I used to get like cuz I love writing so get me very creative. Over here, it just gets me very like paranoid and jittery and I don't like that.  So, well I was a little upset and I think I spoke for all my family when I say this that like this is you know, home. We did there for so many years and moving from Holland to like, say like, you think about like Russia, you're like, what the hell… Where am I going? But then you know, we get there and like, you know, It's amazing. Like it's just the best. I speak Dutch but now that's going down the drain obviously because I have less people to practice with but. Im trying to draw this but its not working…St. Basil's Cathedral basically. Yeah. And the Kremlin, but I'm not I can't draw them. And then funnily enough their flag is the opposite of…So all of this was like diplomatic visa. My father retired in 2008. I'm not gonna go into the English flag cuz, yeah, England..whatever. I was living in London. It was nice. I had a lot of friends at that point who had also moved to London. So it's kind of like interesting because you know, I had a community. Its like those weighs – like justice or whatever. So this is the artist that I work with. Obviously, she doesn't look like that. But just to signify that I was curating in some point in my life. So I got a very serious or, I thought was a serious relationship in my second year like while I was in Pakistan, got my heart broken. I thought it was the end of the world but it clearly wasn't. There are many more heartbreaks after that and many more like fun times. And then we have in the middle, I think, the most important one. Like I know that’s not a maple leaf but like, Ironic, right, because I was born on 28th December. I got married on the 23rd of December. So [moving to Canada], It was a struggle. The weather was a struggle, there was loss of relationship excitement, like I said, husband traveling a lot, not ready to let go of his bachelor lifestyle habits. Now it's gone better because lot of people told him to but initially No. And then I used to be stuck in upset because I but now I found my own thing and I found my way to go through with him and how to deal with him. I know what he's tired when he wants to watch a match, when he does these things I know like the whole rhythm. So I'm not very like pushed about it. But yeah, that's, that's well, that's my very basic map, I guess. "
366,M,"	So I suppose I'm what I'm now interested in is you're, you're like the kinds of services that you uses. I mean, this is research is also about what people do in turn. of trying to get visas. Yeah, so I suppose the two destinations that I'm interested in knowing about is London is the UK and Canada. And you said that you used a lawyer for Canada. so I mean what I'm wanting to know as any commercial services that you used okay things that you paid for all you guys had to pay for "
